No,Process,Menu,BA Section,BA Sub-section,BA UI Field,BA Mandatory,BA Edit type (ESS),BA Edit type (admin),Section on screen?,Screen section (EN),Screen section (TH),Status,Matched UI label on screen,Note,Evidence screenshot
1,Hiring,Employment,Compensation Information (ค่าตอบแทน),Alternative cost centre,cost centre,Not required,,,YES,Bank details,บัญชีธนาคาร,MISSING,,"Section ""Bank details"" is on screen, but this field is not rendered",shots/en-emp-bank.png
2,Hiring,Employment,Compensation Information (ค่าตอบแทน),Alternative cost centre,Allocation %,Not required,,,YES,Bank details,บัญชีธนาคาร,MISSING,,"Section ""Bank details"" is on screen, but this field is not rendered",shots/en-emp-bank.png
3,Hiring,Employment,Compensation Information (ค่าตอบแทน),Payment Information,Bank Code,Required,edit with approval flow_2,,YES,Bank details,บัญชีธนาคาร,MISSING,,"Section ""Bank details"" is on screen, but this field is not rendered",shots/en-emp-bank.png
4,Hiring,Employment,Compensation Information (ค่าตอบแทน),Payment Information,Bank,Required,edit with approval flow_2,,YES,Bank details,บัญชีธนาคาร,FOUND,Bank / ธนาคาร,,shots/en-emp-bank.png
5,Hiring,Employment,Compensation Information (ค่าตอบแทน),Payment Information,Account Number,Required,edit with approval flow_2,,YES,Bank details,บัญชีธนาคาร,FOUND,Account number / เลขที่บัญชี,,shots/en-emp-bank.png
6,Hiring,Employment,Compensation Information (ค่าตอบแทน),Payment Information,Bank Country/Region,Required,view,,YES,Bank details,บัญชีธนาคาร,MISSING,,"Section ""Bank details"" is on screen, but this field is not rendered",shots/en-emp-bank.png
7,Hiring,Employment,Compensation Information (ค่าตอบแทน),Payment Information,Currency,Required,view,,YES,Bank details,บัญชีธนาคาร,MISSING,,"Section ""Bank details"" is on screen, but this field is not rendered",shots/en-emp-bank.png
8,Hiring,Employment,Compensation Information (ค่าตอบแทน),Payment Information,Payment Method,Required,view,,YES,Bank details,บัญชีธนาคาร,MISSING,,"Section ""Bank details"" is on screen, but this field is not rendered",shots/en-emp-bank.png
9,Hiring,Employment,Compensation Information (ค่าตอบแทน),Payment Information,Attachment,,,,YES,Bank details,บัญชีธนาคาร,MISSING,,"Section ""Bank details"" is on screen, but this field is not rendered",shots/en-emp-bank.png
10,Hiring,Employment,Compensation Information (ค่าตอบแทน),,Payroll ID,Not required,,,YES,Bank details,บัญชีธนาคาร,MISSING,,"Section ""Bank details"" is on screen, but this field is not rendered",shots/en-emp-bank.png
11,Hiring,Employment,Compensation Information (ค่าตอบแทน),,Pay Type,Required,view,,YES,Bank details,บัญชีธนาคาร,MISSING,,"Section ""Bank details"" is on screen, but this field is not rendered",shots/en-emp-bank.png
12,Hiring,Employment,Compensation Information (ค่าตอบแทน),,Pay Component,Required,view,,YES,Bank details,บัญชีธนาคาร,MISSING,,"Section ""Bank details"" is on screen, but this field is not rendered",shots/en-emp-bank.png
13,Hiring,Employment,Compensation Information (ค่าตอบแทน),,Frequency,Required,view,,YES,Bank details,บัญชีธนาคาร,MISSING,,"Section ""Bank details"" is on screen, but this field is not rendered",shots/en-emp-bank.png
14,Hiring,Employment,Compensation Information (ค่าตอบแทน),,Amount,Required,view,,YES,Bank details,บัญชีธนาคาร,MISSING,,"Section ""Bank details"" is on screen, but this field is not rendered",shots/en-emp-bank.png
15,Hiring,Employment,Compensation Information (ค่าตอบแทน),,Currency,Required,view,,YES,Bank details,บัญชีธนาคาร,MISSING,,"Section ""Bank details"" is on screen, but this field is not rendered",shots/en-emp-bank.png
16,Hiring,Employment,Compensation Information (ค่าตอบแทน),,pay group,Required,view,,YES,Bank details,บัญชีธนาคาร,MISSING,,"Section ""Bank details"" is on screen, but this field is not rendered",shots/en-emp-bank.png
17,Hiring,Personal,Contact (ข้อมูลติดต่อ),Home Address,Address Type,Required,edit with approval flow_1,edit without approval,YES,Contact & address,การติดต่อและที่อยู่,MISSING,,"Section ""Contact & address"" is on screen, but this field is not rendered",shots/en-emp-contact-address.png
18,Hiring,Personal,Contact (ข้อมูลติดต่อ),Home Address,Floor,Not Required,edit with approval flow_1,edit without approval,YES,Contact & address,การติดต่อและที่อยู่,MISSING,,"Section ""Contact & address"" is on screen, but this field is not rendered",shots/en-emp-contact-address.png
19,Hiring,Personal,Contact (ข้อมูลติดต่อ),Home Address,Room No.,Not Required,edit with approval flow_1,edit without approval,YES,Contact & address,การติดต่อและที่อยู่,MISSING,,"Section ""Contact & address"" is on screen, but this field is not rendered",shots/en-emp-contact-address.png
20,Hiring,Personal,Contact (ข้อมูลติดต่อ),Home Address,Village,Not Required,edit with approval flow_1,edit without approval,YES,Contact & address,การติดต่อและที่อยู่,PARTIAL,(no dedicated label),Address (composite string),shots/en-emp-contact-address.png
21,Hiring,Personal,Contact (ข้อมูลติดต่อ),Home Address,House Number,Required,edit with approval flow_1,edit without approval,YES,Contact & address,การติดต่อและที่อยู่,PARTIAL,(no dedicated label),Address (composite string),shots/en-emp-contact-address.png
22,Hiring,Personal,Contact (ข้อมูลติดต่อ),Home Address,Building,Not Required,edit with approval flow_1,edit without approval,YES,Contact & address,การติดต่อและที่อยู่,MISSING,,"Section ""Contact & address"" is on screen, but this field is not rendered",shots/en-emp-contact-address.png
23,Hiring,Personal,Contact (ข้อมูลติดต่อ),Home Address,Street,Not Required,edit with approval flow_1,edit without approval,YES,Contact & address,การติดต่อและที่อยู่,PARTIAL,(no dedicated label),Address (composite string),shots/en-emp-contact-address.png
24,Hiring,Personal,Contact (ข้อมูลติดต่อ),Home Address,Moo,Not Required,edit with approval flow_1,edit without approval,YES,Contact & address,การติดต่อและที่อยู่,MISSING,,"Section ""Contact & address"" is on screen, but this field is not rendered",shots/en-emp-contact-address.png
25,Hiring,Personal,Contact (ข้อมูลติดต่อ),Home Address,Lane / Soi,Not Required,edit with approval flow_1,edit without approval,YES,Contact & address,การติดต่อและที่อยู่,MISSING,,"Section ""Contact & address"" is on screen, but this field is not rendered",shots/en-emp-contact-address.png
26,Hiring,Personal,Contact (ข้อมูลติดต่อ),Home Address,District,Required,edit with approval flow_1,edit without approval,YES,Contact & address,การติดต่อและที่อยู่,PARTIAL,(no dedicated label),Address (composite string),shots/en-emp-contact-address.png
27,Hiring,Personal,Contact (ข้อมูลติดต่อ),Home Address,Sub-District,Required,edit with approval flow_1,edit without approval,YES,Contact & address,การติดต่อและที่อยู่,PARTIAL,(no dedicated label),Address (composite string),shots/en-emp-contact-address.png
